22pF,18,C2 C3 C9 C10 C11 C12 C20 C22 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34,12065A220JAT2A
2.2nF,3,C16 C18 C21,12061A222KAT2A
0.1uF,6,C1 C8 C15 C17 C23 C24,12065C104KAT2A
1uF,6,C4 C5 C6 C13 C14 C19,12063C105KAT2A
100uF,1,C7,TMCMA0G107MTRF
AVR-ISP-6-DR,3,CON1 CON2 CON3,54202-G0803ALF
FPGA_CLK,1,D1,SML-LXFT1206SOC-TR
FPGA_WP,1,D2,SML-LXFT1206SOC-TR
FPGA_MISO,1,D3,SML-LXFT1206SOC-TR
FPGA_MOSI,1,D4,SML-LXFT1206SOC-TR
FPGA_HOLD,1,D5,SML-LXFT1206SOC-TR
FPGA_CS,1,D6,SML-LXFT1206SOC-TR
LED_YELLOW,1,D7,SML-LXL1206YC-TR
LED_BLUE,1,D8,SML-LXR1206USBC-TR
RSA5M,1,D9,RSA5MGTR
0,1,DNP1,
JUMPER,1,JP1, 382811-8 & 5-146871-1
CASE_OPEN,2,K1 K2,“046277003001883+”
CD4051,3,MUX1 MUX2 MUX3,CD4051BM96
CPU_FAN,1,P1,
MOSFET_N,10,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q9 Q10 Q11,2N7002W
ALS_PT19,1,Q8,ALS-PT19-315C/L177/TR8
27 Ohms,10,R39 R40 R42 R43 R44 R45 R46 R47 R48 R49,RC1206FR-0727RL
1K,10,R2 R5 R7 R10 R12 R17 R18 R21 R30 R31,AS12J1001ET
1.5K,2,R33 R34,CRCW12061K50FKEA
4.7K,2,R29 R35,ERJ-8ENF4701V
10K,23,R1 R3 R4 R6 R8 R9 R11 R13 R14 R15 R16 R19 R20 R22 R24 R25 R26 R27 R28 R36 R37 R38 R41,AS12J1002ET
15K,1,R32,
47K,1,R23,ERJ-8ENF4702V
MCU_RST,3,SW1 SW5 SW6,KPT-1187B
BT_ASSCN,1,SW2,KPT-1187B
POWER,1,SW3,KPT-1187B
CASE_PUSH,1,SW4,3FSH9
SPST,1,SW7,AS11BH
XF2M-3015-1A,1,U5,XF2M-3015-1A
USB_CAM,1,U7,4 pins
EPAPER_V2,1,U8,many pins
USB_A_FEMALE,1,U9,KUSBEX-ASFS1N-W
NHD-0440AZ-FL-YBW,1,U10,NHD-0440AZ-FL-YBW
NRF24L01+,1,U11,Sparkfun RP-SMA
ATAES132A,1,U12,ATAES132A-SH-ER-T
AT97SC3205T,1,U13,AT97SC3205T-H3M46-00CT-ND
PIXEL_QI_IPEX_BREAKOUT,1,U15,
BME280,1,U16,BME280
TPS2041B,1,U17,TPS2041BDBVR
LCD_50PIN,1,U18,XF2M-5015-1A & 15020-0555
ATMEGA32U4-AU,1,U1,ATMEGA32U4-AU
RT9706,1,U2,RT9706GB
ATMEGA32U4,2,U3 U6,ATMEGA32U4-AU
0WX4JF,1,U4,0WX4JF backlit Dell
TUSB2046BVFR,1,U14,TUSB2046BVFR
6MHz,1,X4,HCM49-6.000MABJ-UT
XTAL 16MHz,3,X1 X2 X3,406C35E16M00000
